,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
JOHN LEWIS OF HUNGERFORD PLC,Household Goods &amp; Home Construction,Furnishings,1.26,0.68,0.7,-5.24,nan,2018
JOHNSON MATTHEY PLC,Chemicals,Specialty Chemicals,6243.39,3201,779.71,28.47,2.63,2018
JOHNSON SERVICE GROUP PLC,Support Services,Business Support Services,477.99,130,-4.49,67.3,2.18,2016
JOULES GROUP PLC,General Retailers,Apparel Retailers,245.8,280,22.55,-0.1,nan,2018
JPMORGAN ASIAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,337.75,359,387.22,nan,4.61,2018
JPMORGAN CHINESE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,199.57,280,303.92,nan,1.33,2018
JPJ GROUP PLC,Travel &amp; Leisure,Gambling,137.34,701,nan,148.26,nan,2017
JPMORGAN BRAZIL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,23.13,68.25,74.22,nan,nan,2018
JPMORGAN INDIAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,692.29,649,736.45,nan,nan,2018
JPMORGAN JAPAN SMALLER CO TST PLC,Equity Investment Instruments,Equity Investment Instruments,204.69,375,nan,nan,nan,2018
JPMORGAN AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,954.19,431.5,nan,nan,1.35,2017
JPMORGAN EURO SMALL CO. TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,558.12,349,438.89,nan,1.65,2018
JPMORGAN GLOBAL GROWTH &amp; INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,411.98,310,318.44,nan,3.81,2018
JPMORGAN SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,160.4,201.47,1424.89,nan,2.22,2018
JPMORGAN US SMALLER CO. INV TST PLC,Equity Investment Instruments,Equity Investment Instruments,177.13,306,nan,nan,0.82,2017
JPMORGAN CLAVERHOUSE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,407.19,708,nan,nan,3.59,2017
JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1112.55,898,968.21,nan,1.48,2018
JPMORGAN EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,199.38,277,nan,nan,4.26,2018
JPMORGAN GLOBAL CONVERTIBLES INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,109.13,88,80.49,nan,4.79,2018
JPMORGAN GLOBAL EMERGING MARKETS INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,390.28,131.5,134.61,nan,3.97,2018
JPMORGAN EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,147.23,145,nan,nan,8.03,2018
JPMORGAN JAPANESE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,625.64,384,528.09,nan,1.09,2018
JPMORGAN MID CAPITAL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,247.13,1040,1319.17,nan,2.24,2018
JPMORGAN MULTI-ASSET TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,80.24,92.8,nan,nan,nan,nan
JPMORGAN RUSSIAN SECURITIES PLC,Equity Investment Instruments,Equity Investment Instruments,254.55,524,574.72,nan,4.27,2017
JTC PLC,Financial Services,Specialty Finance,360.41,325,nan,nan,nan,nan
JUBILEE METALS GROUP PLC,Mining,Platinum &amp; Precious Metals,33.41,2.42,0.48,nan,nan,2017
JUDGES SCIENTIFIC PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,176.58,2860,-1.25,32.15,1.54,2017
JUPITER EMERGING &amp; FRONTIER INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,95.69,101,nan,10.97,nan,2018
JUPITER EUROPEAN OPPORTUNITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,807.65,708,778.94,nan,0.84,2018
JUPITER FUND MANAGEMENT PLC,Financial Services,Asset Managers,1531.01,335.6,64.04,nan,5.21,2017
JUPITER GREEN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,33.86,176,191.31,nan,0.7,2018
JUPITER UK GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,50.49,281,340.51,nan,2.08,2018
JUPITER US SMALLER COMPANIES PLC,Equity Investment Instruments,Equity Investment Instruments,149.6,1015,nan,nan,nan,2018
JUST EAT PLC,General Retailers,Specialized Consumer Services,4903.81,736.4,11.63,-36.8,nan,2017
JUST GROUP PLC,Life Insurance,Life Insurance,934.48,101.5,164.87,nan,1.93,2017
K3 BUSINESS TECHNOLOGY GROUP PLC,Software &amp; Computer Services,Software,96.2,224,-4.43,6.16,0.84,2017
K3 CAPITAL GROUP PLC,Financial Services,Specialty Finance,101.73,241,10.15,nan,3.54,2018
KAINOS GROUP PLC,Software &amp; Computer Services,Software,597.58,487,25.34,nan,nan,2018
KAPE TECHNOLOGIES PLC,Software &amp; Computer Services,Software,159.29,111,35.6,nan,nan,2017
KARELIAN DIAMOND RESOURCES PLC,Mining,Diamonds &amp; Gemstones,1.05,3.05,-2.4,nan,nan,2018
KATORO GOLD PLC,Mining,Gold Mining,0.95,0.6,3.72,nan,nan,2017
KAZ MINERALS PLC,Mining,General Mining,3200.04,666.6,164.82,206.63,nan,2017
KAZERA GLOBAL PLC,Support Services,Business Support Services,5.39,2.12,1.08,nan,nan,2018
KCOM GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,360.59,69.5,2.54,61.87,6.51,2018
KEFI MINERALS PLC,Mining,General Mining,9.78,1.67,-0.53,nan,nan,2017
KELLER GROUP PLC,Construction &amp; Materials,Heavy Construction,371.11,519,413.2,49,3.51,2017
KENMARE RESOURCES PLC,Mining,General Mining,218.93,199.75,555.45,4.28,nan,2017
KERAS RESOURCES PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,7.67,0.34,-0.07,nan,nan,2017
KEYSTONE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,214.61,1565,2037.07,nan,3.45,2017
KEYSTONE LAW GROUP PLC,Support Services,Business Support Services,127.6,405,-2683.74,nan,nan,2018
KEYWORDS STUDIOS PLC,Support Services,Business Support Services,740.3,1106,40.43,-6.89,8.34,2017
KIBO ENERGY PLC,Mining,General Mining,4.64,0.68,0.19,2.42,nan,2017
KIER GROUP PLC,Construction &amp; Materials,Heavy Construction,829.22,526,-302.13,28.78,5.51,2017
KIN AND CARTA PLC,Support Services,Business Support Services,151.34,99,-22.73,31.91,nan,2018
KINGFISHER PLC,General Retailers,Home Improvement Retailers,5043.17,246.6,183.08,-0.8,3.12,2018
KNIGHTS GROUP HOLDINGS PLC,Support Services,Business Support Services,193.76,268.15,nan,nan,nan,nan
KODAL MINERALS PLC,Mining,General Mining,15.43,0.2,0.04,nan,nan,2018
KOOVS PLC,General Retailers,Apparel Retailers,26.71,7.5,43.91,94.05,0,2018
KORE POTASH PLC,Mining,General Mining,26.74,2.88,nan,nan,nan,nan
KROMEK GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,69.96,27,8.61,-16.12,nan,2018
LAMPRELL PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,183.85,54,96.02,-52.85,0,2017
LANCASHIRE HOLDINGS LIMITED,Nonlife Insurance,Property &amp; Casualty Insurance,1317.67,659,361.97,nan,1.64,2017
LAND SECURITIES GROUP PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,6478.89,881.6,1410.46,33.95,4.72,2018
LANDORE RESOURCES LIMITED,Mining,General Mining,10.72,1.02,0.01,nan,nan,2017
LANSDOWNE OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,15.64,2.25,-0.5,15.59,nan,2017
LATHAM (JAMES) PLC,Support Services,Industrial Suppliers,144.73,735,454.79,nan,2.5,2018
LAW DEBENTURE CORPORATION PLC,Equity Investment Instruments,Equity Investment Instruments,698.46,582,630.44,nan,2.75,2017
LEARNING TECHNOLOGIES GROUP PLC,Software &amp; Computer Services,Software,458.75,65,-1.15,-1.36,0.45,2017
LEGAL &amp; GENERAL GROUP PLC,Life Insurance,Life Insurance,16416.09,275.2,129.63,nan,5.66,2017
LEKOIL LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,54.78,10.5,29.02,10.76,nan,2017
LIDCO GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,9.64,3.95,2.61,nan,nan,2018
LIGHTHOUSE GROUP PLC,Financial Services,Specialty Finance,33.97,26.1,5.13,nan,2.15,2017
LIGHTWAVERF PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,6.44,9,2.14,-1.27,nan,2018
LINDSELL TRAIN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,293.5,1475,nan,nan,2.12,2018
LIONTRUST ASSET MANAGEMENT PLC,Financial Services,Asset Managers,303.79,590,46.36,nan,3.79,2018
LIVE COMPANY GROUP PLC,Media,Media Agencies,43.97,63.5,-0.56,nan,nan,2017
LLOYDS BANKING GROUP PLC,Banks,Banks,43080.52,61.21,54.08,nan,4.51,2017
LMS CAPITAL PLC,Equity Investment Instruments,Equity Investment Instruments,37.3,46.2,79.88,nan,nan,2017
LOCATION SCIENCES GROUP PLC,Software &amp; Computer Services,Software,7.25,2.12,nan,nan,nan,nan
LOK'N STORE GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,132.24,452.5,338.96,nan,2.73,2018
LONDON FINANCE &amp; INVESTMENT GROUP PLC,Financial Services,Asset Managers,12.33,39.5,65.36,nan,2.53,2018
LONDON STOCK EXCHANGE GROUP PLC,Financial Services,Investment Services,15695.48,4473,-393.09,17.73,1.38,2017
LONDONMETRIC PROPERTY PLC,Real Estate Investment Trusts,Diversified REITs,1331.38,192.5,164.87,nan,4.43,2018
LONMIN PLC,Mining,Platinum &amp; Precious Metals,190.88,69.4,182.48,-15.04,nan,2017
LOOKERS PLC,General Retailers,Specialty Retailers,403.08,104.2,41.19,25.4,3.76,2017
LOOPUP GROUP PLC,Software &amp; Computer Services,Software,198.48,360,nan,nan,6.25,2017
LOW &amp; BONAR PLC,General Industrials,Diversified Industrials,116.22,16.6,24.93,79.59,nan,2017
LOWLAND INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,378.26,1370,1628.13,nan,3.26,2017
LPA GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,12.92,102.5,77.05,25.68,2.04,2017
LSL PROPERTY SERVICES PLC,Real Estate Investment &amp; Services,Real Estate Services,258.31,250,-32.38,nan,4.04,2017
LUCECO PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,90.37,58,-1345.86,91.75,24,2017
PJSC LUKOIL,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,48191.94,83.79,421106.71,8.21,6.49,2017
LXB RETAIL PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,9.06,4.5,29.52,35.71,nan,2017
LXI REIT PLC,Real Estate Investment Trusts,Diversified REITs,438.63,124.5,nan,nan,nan,2018
M WINKWORTH PLC,Real Estate Investment &amp; Services,Real Estate Services,13.88,110,38.12,nan,6.9,2017
M&amp;C SAATCHI PLC,Media,Media Agencies,327.16,358,11.19,-12.97,2.51,2017
M.P. EVANS GROUP PLC,Food Producers,Farming &amp; Fishing,375.53,687,517.97,-19.39,270.09,2017
MACAU PROPERTY OPPORTUNITIES FUND LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,90.9,148,212.96,30.94,nan,2018
MACFARLANE GROUP PLC,General Industrials,Containers &amp; Packaging,145.34,92.25,-0.02,25.65,2.7,2017
MAESTRANO GROUP PLC,Software &amp; Computer Services,Software,3.92,4.9,nan,nan,nan,nan
MAIL.RU GROUP LIMITED,Software &amp; Computer Services,Internet,4006.74,24.45,453.7,-3.3,nan,2016
MAINTEL HOLDINGS PLC,Support Services,Business Support Services,74.53,525,-284.79,nan,5.37,2017
MAISTRO PLC,Software &amp; Computer Services,Internet,5.82,1.45,nan,nan,nan,nan
MAJEDIE INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,147.76,276.5,341.59,nan,3.46,2017
MAJESTIC WINE PLC,General Retailers,Specialty Retailers,201.62,280.5,102.99,6.95,1.81,2018
MAN GROUP PLC,Financial Services,Asset Managers,2174.1,140.05,31.12,nan,3.92,2017
MANAGEMENT RESOURCE SOLUTIONS PLC,Support Services,Business Support Services,9.85,5,4.3,199.45,nan,2018
MANCHESTER &amp; LONDON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,134.61,474.5,429.05,nan,2.36,2017
MANAGEMENT CONSULTING GROUP PLC,Support Services,Business Support Services,29.27,1.93,0.39,nan,nan,2017
MANX FINANCIAL GROUP PLC,Financial Services,Consumer Finance,11.47,8.75,10.2,nan,nan,2017
MANX TELECOM PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,210.05,182.5,-3.28,nan,5.95,2017
MARECHALE CAPITAL PLC,Financial Services,Investment Services,0.58,1,0.81,nan,nan,2018
MARKS AND SPENCER GROUP PLC,General Retailers,Broadline Retailers,4772.51,302.4,145.1,53.73,6.92,2018
MARLOWE PLC,Support Services,Business Support Services,144.39,355,51.17,4.78,3.81,2018
MARSHALL MOTOR HOLDINGS PLC,General Retailers,Specialty Retailers,127.31,163.5,30.5,1.17,nan,2017
MARSHALLS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,1053.27,534.5,88.06,-2.51,3.3,2016
MARSTON'S PLC,Travel &amp; Leisure,Restaurants &amp; Bars,621.3,99.3,103.9,144.74,7.59,2018
MARTIN CURRIE ASIA UNCONSTRAINED TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,139.2,388,483.01,nan,4.35,2018
MARTIN CURRIE GLOBAL PORTFOLIO TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,214.08,253,246.13,nan,1.7,2018
MATTIOLI WOODS PLC,Financial Services,Asset Managers,199.88,762.5,136.72,nan,2.13,2018
MAYAN ENERGY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,2.75,0.12,0.11,nan,nan,2017
MCBRIDE PLC,Household Goods &amp; Home Construction,Nondurable Household Products,171.83,97.5,20.65,169.08,3.22,2018
MCCARTHY &amp; STONE PLC,Household Goods &amp; Home Construction,Home Construction,671.12,125.8,125.7,nan,nan,2017
MCCOLL'S RETAIL GROUP PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,64.61,55.2,-89.42,96.29,3.63,2017
MCKAY SECURITIES PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,221.19,234,326.16,48.06,3.64,2018
MEARS GROUP PLC,Support Services,Business Support Services,312.69,281,-1.37,12.46,2.95,2017
MEDIAZEST PLC,Media,Media Agencies,1.29,0.1,-0.07,nan,nan,2018
MEDICA GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,128.89,116,-31.9,nan,20.28,2017
MEDICLINIC INTERNATIONAL PLC,Health Care Equipment &amp; Services,Health Care Providers,2396.78,313.5,255.05,51,9.65,2018
MEDICX FUND LIMITED,Real Estate Investment Trusts,Specialty REITs,405.71,91.8,80.99,120.29,7.37,2018
MEGGITT PLC,Aerospace &amp; Defense,Aerospace,4387.79,558.8,-112.97,37.74,3.28,2017
MELROSE INDUSTRIES PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,8625.83,175.3,-18.15,30.33,2,2017
MENHADEN PLC,Equity Investment Instruments,Equity Investment Instruments,56.8,71,83.89,nan,1.78,2017
MENZIES(JOHN) PLC,Support Services,Business Support Services,482.9,559,-80.53,158.4,3,2017
MERCANTILE INVESTMENT TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,1564.86,197.5,2465.92,nan,2.47,2018
MERCANTILE PORTS &amp; LOGISTICS LIMITED,Industrial Transportation,Transportation Services,55.25,2.7,22.59,31.58,nan,2017
MERCHANTS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,527.33,483,nan,nan,5.08,2018
MERCIA TECHNOLOGIES PLC,Financial Services,Specialty Finance,114.04,37.6,36.54,nan,nan,2018
MERLIN ENTERTAINMENTS PLC,Travel &amp; Leisure,Recreational Services,3703.99,363.3,53.45,74.22,2.05,2017
METAL TIGER PLC,Financial Services,Specialty Finance,19.52,1.32,1.42,-18.12,nan,2017
METALS EXPLORATION PLC,Mining,General Mining,17.09,0.85,4.71,63.28,nan,2017
METRO BANK PLC,Banks,Banks,1503.2,1510,586.27,nan,nan,2016
MI-PAY GROUP PLC,Support Services,Business Support Services,4.57,10,0.05,-13196.83,nan,2017
MICHELMERSH BRICK HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,80.08,87,40.96,29.42,2.42,2017
MICRO FOCUS INTERNATIONAL PLC,Software &amp; Computer Services,Software,7754.46,1856,-1319.27,54.45,1.67,2017
MICROGEN PLC,Software &amp; Computer Services,Computer Services,240.72,393.5,-24.7,-17.29,1.33,2017
MICROSAIC SYSTEMS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,4.34,0.95,2.11,nan,nan,2017
MID-WYND INTERNATIONAL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,203.43,515,nan,nan,1.11,2018
MIDATECH PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,3.23,4.45,11.51,-19.2,nan,2017
MIDDLEFIELD CANADIAN INCOME PCC,Equity Investment Instruments,Equity Investment Instruments,99.35,94.4,82.14,21.67,5,2017
MIDWICH GROUP PLC,Support Services,Business Support Services,458.81,590,-2529.51,44.61,21.12,2017
MILLENNIUM &amp; COPTHORNE HOTELS PLC,Travel &amp; Leisure,Hotels,1511.9,475,823.99,24.29,1.13,2017
MIND GYM PLC,Support Services,Business Training &amp; Employment Agencies,143.27,142.5,nan,nan,nan,nan
MINDS + MACHINES GROUP LIMITED,Media,Media Agencies,51.33,5.55,1.81,nan,nan,2017
MINERAL &amp; FINANCIAL INVESTMENTS LIMITED,Financial Services,Specialty Finance,2.89,8.25,7.49,-15.71,nan,2018
MINOAN GROUP PLC,Travel &amp; Leisure,Hotels,7.33,2.55,18.24,14.42,nan,2017
MIRRIAD ADVERTISING PLC,Media,Media Agencies,16.56,15.75,nan,nan,-72.98,2017
THE MISSION MARKETING GROUP PLC,Media,Media Agencies,53.57,63.5,-10.02,9.33,4.1,2017
MITCHELLS &amp; BUTLERS PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1239.54,290,410.45,104.86,2.84,2018
MITIE GROUP PLC,Support Services,Business Support Services,474.62,130.3,nan,-831.67,2.52,2018
MITON GLOBAL OPPORTUNITIES PLC,Equity Investment Instruments,Equity Investment Instruments,73.51,262.5,276.36,-6.11,nan,2018
MITON GROUP PLC,Financial Services,Asset Managers,84.59,48.5,11.65,nan,nan,2017
MITON UK MICROCAP TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,86.4,56.6,54.91,nan,18.94,2018
MJ GLEESON PLC,Household Goods &amp; Home Construction,Home Construction,425.78,778,316.65,nan,3.87,2017
MKANGO RESOURCES LTD,Mining,General Mining,10.45,9.1,nan,nan,nan,2017
PJSC MMC NORILSK NICKEL,Industrial Metals &amp; Mining,Nonferrous Metals,26776.93,22.09,2019.36,189.53,2384.29,2017
MOBILE STREAMS PLC,Mobile Telecommunications,Mobile Telecommunications,0.4,0.4,2.01,nan,nan,2018
MOBILE TORNADO GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,16.59,4.75,nan,-65.35,nan,2017
MOBILITYONE LIMITED,Support Services,Financial Administration,3.45,3.25,0.75,45.68,nan,2017
MODERN WATER PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,7.2,6.85,1.97,nan,nan,2017
MONDI PLC,Forestry &amp; Paper,Paper,6970.23,1881,519.48,35.73,7.49,2017
MONEYSUPERMARKET.COM GROUP PLC,Media,Media Agencies,1790.26,340.4,4.74,nan,2.94,2017
MONKS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1811.42,818,762.87,nan,0.18,2018
MONTANARO EUROPEAN SMALLER C. TST PLC,Equity Investment Instruments,Equity Investment Instruments,148.93,890,901.06,nan,1.06,2018
MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,182.85,109.24,679.1,nan,1.96,2018
MORGAN ADVANCED MATERIALS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,764.79,267.2,-7.78,92.88,3.29,2017
MORGAN SINDALL GROUP PLC,Construction &amp; Materials,Heavy Construction,557.38,1230,134.65,-74.86,4.7,2016
MORRISON (WM) SUPERMARKETS PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5501.46,233.5,174.76,21.78,4.53,2018
MORSES CLUB PLC,Financial Services,Consumer Finance,206.37,160,44.92,nan,5.13,2018
MORTGAGE ADVICE BUREAU (HOLDINGS) PLC,Financial Services,Mortgage Finance,294.88,598,nan,nan,4.05,2017
MOSMAN OIL AND GAS LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,1.56,0.24,0.93,nan,nan,2018
MOSS BROS GROUP PLC,General Retailers,Apparel Retailers,26.26,26.05,35.77,nan,6.01,2017
MOTHERCARE PLC,General Retailers,Broadline Retailers,56.18,16.94,-36.17,nan,nan,2018
MOTIF BIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,20.82,7.4,1.41,nan,nan,2017
MOTORPOINT GROUP PLC,General Retailers,Specialty Retailers,190.33,198.5,26.36,nan,nan,2018
MOUNTFIELD GROUP PLC,Construction &amp; Materials,Heavy Construction,3.81,1.48,-0.6,13.16,nan,2017
MPAC GROUP PLC,Industrial Engineering,Industrial Machinery,27.03,134,207.72,nan,nan,2017
MPORIUM GROUP PLC,Software &amp; Computer Services,Software,46.27,5.2,0.8,nan,nan,2017
MS INTERNATIONAL PLC,Industrial Engineering,Industrial Machinery,36.68,219,172.72,nan,4.46,2018
MTI WIRELESS EDGE LTD.,Technology Hardware &amp; Equipment,Telecommunications Equipment,16.87,19.5,27.58,-4.27,6.09,2017
MURGITROYD GROUP PLC,Support Services,Business Support Services,43.79,486,172.09,-8.59,3.39,2018
MURRAY INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,507.73,768,856.32,nan,4.24,2018
MURRAY INTERNATIONAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1554.65,1194,1251.41,nan,3.94,2017
MX OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.94,0.07,0.85,nan,nan,2017
nan,nan,nan,nan,nan,nan,nan,nan,nan
MYSALE GROUP PLC,General Retailers,Apparel Retailers,29.4,19.05,19.66,-11.79,nan,2017
N4 PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,7.96,8.05,1.66,nan,nan,2017
NAHL GROUP PLC,Media,Media Agencies,37.54,81.3,-12.75,nan,9.54,2017
NAKAMA GROUP PLC,Support Services,Business Training &amp; Employment Agencies,1.27,1.07,0.76,85.71,0,2017
NANOCO GROUP PLC,Technology Hardware &amp; Equipment,Semiconductors,157.26,53.4,3.22,nan,nan,2018
NASSTAR PLC,Software &amp; Computer Services,Internet,67.28,11.7,0.28,-3.6,0.56,2017
NATIONAL EXPRESS GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,2154.42,419.4,-95.75,79.57,3.54,2017
NATIONAL GRID PLC,"Gas, Water &amp; Multiutilities",Multiutilities,29251.89,854.4,343.32,139.63,16.08,2018
NAUTILUS MARINE SERVICES PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,3.96,7.55,37.84,nan,nan,2017
NB GLOBAL FLOATING RATE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,619.28,89.5,99.3,nan,5.31,2017
NB PRIVATE EQUITY PARTNERS LIMITED,Equity Investment Instruments,Equity Investment Instruments,541.58,1110,1334.21,nan,3.54,2017
NCC GROUP PLC,Software &amp; Computer Services,Computer Services,338.95,120.4,-11.45,nan,2.19,2018
NCONDEZI ENERGY LIMITED,Mining,Coal,14.68,5,4.14,20.02,nan,2017
NEKTAN PLC,Travel &amp; Leisure,Gambling,6.42,13.5,nan,-72.07,nan,2018
NETCALL PLC,Software &amp; Computer Services,Software,43.61,30,-5.06,nan,0.72,2018
NEW STAR INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,74.57,105,156.8,nan,nan,2018
NEWMARK SECURITY PLC,Support Services,Business Support Services,4.69,1,0.46,-7.63,0,2018
NEWRIVER REIT PLC,Real Estate Investment Trusts,Retail REITs,658.2,217.5,294.56,nan,7.29,2018
NEXT PLC,General Retailers,Apparel Retailers,6914.89,5180,313.95,214.46,6.48,2018
NEXT FIFTEEN COMMUNICATIONS GROUP PLC,Media,Media Agencies,466.29,558,-23.62,15.06,1.5,2018
NEXTENERGY SOLAR FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,671.54,115.5,104.86,nan,nan,2018
NEXUS INFRASTRUCTURE PLC,Construction &amp; Materials,Heavy Construction,79.67,209,51.03,-89.79,3.32,2018
NICHOLS PLC,Beverages,Soft Drinks,573.79,1520,164.09,nan,2.15,2017
NMC HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,5838.23,2750,-25.13,92.81,0.34,2017
NMCN PLC,Construction &amp; Materials,Heavy Construction,76.63,755,126.43,-93.83,nan,2017
NORCROS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,153.57,190.5,7.11,45.03,4.12,2018
NORTH AMERICAN INCOME TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,408.69,1430,1377.57,nan,3,2018
NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,423.32,2955,3462.06,nan,0,2018
NORTHBRIDGE INDUSTRIAL SERVICES PLC,Industrial Engineering,Industrial Machinery,35.43,126.5,88.23,24.46,nan,2017
NORTHERN BEAR PLC,Support Services,Business Support Services,13.43,72,3.97,5.46,5.67,2018
NORTHGATE PLC,Support Services,Business Support Services,492.96,372,398.05,81.49,4.77,2018
NOSTRA TERRA OIL AND GAS COMPANY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,3.83,2.6,-0.76,-523.89,nan,2017
NOSTRUM OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,191.95,98.5,272.76,143.52,nan,2017
PAO NOVATEK,Oil &amp; Gas Producers,Exploration &amp; Production,41687.77,177.15,21820.37,12.81,0.2,2017
NOVOLIPETSK STEEL,Industrial Metals &amp; Mining,Iron &amp; Steel,11131.95,24.23,79.47,29.87,54.67,2017
NU-OIL AND GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,9.72,0.69,nan,nan,nan,2016
NUCLEUS FINANCIAL GROUP PLC,Financial Services,Specialty Finance,128.09,167.5,nan,nan,nan,nan
NUMIS CORPORATION PLC,Financial Services,Investment Services,269.48,250,102.76,nan,4.27,2017
NWF GROUP PLC,Support Services,Industrial Suppliers,81.17,166.5,45.62,14.41,3.07,2018
OAKLEY CAPITAL INVESTMENTS LIMITED,Financial Services,Specialty Finance,389.13,190,200.53,nan,6.83,2016
OBTALA LIMITED,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,26.5,6.35,24.36,4.47,nan,2017
OCADO GROUP PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,6188.51,961,26.48,84.23,nan,2017
