,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
BIOME TECHNOLOGIES PLC,Chemicals,Specialty Chemicals,10.24,433,103.17,nan,nan,2017
BIOTECH GROWTH TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,385.28,728,747.49,nan,nan,2018
BIOVENTIX PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,188.44,3750,nan,nan,3.1,2018
BLACKROCK NORTH AMERICAN INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,124.96,177.25,175.6,nan,4.72,2018
BLACKROCK COMMODITIES INCOME INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,88.84,76.8,75.87,8.73,5.67,2018
BLACKROCK FRONTIERS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,338.15,141,135.88,nan,4.62,2018
BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,286.85,332,382.17,nan,1.58,2018
BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,45.01,187.5,194.26,nan,3.77,2018
BLACKROCK LATIN AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,187.27,474,543.04,nan,2.11,2017
BLACKROCK SMALLER CO TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,636.8,1325,1506.78,nan,1.96,2018
BLACKROCK WORLD MINING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,650.66,365,456.01,nan,3.95,2017
BLANCCO TECHNOLOGY GROUP PLC,Software &amp; Computer Services,Software,72.7,112.5,-23.59,nan,nan,2018
BLOCK ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,10.1,3.85,nan,nan,nan,nan
BLOOMSBURY PUBLISHING PLC,Media,Publishing,175.52,238,103.83,nan,4.5,2018
BLUE PLANET INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,18.8,38,nan,nan,10.11,2018
BLUE PRISM GROUP PLC,Software &amp; Computer Services,Software,925.51,1226,nan,nan,nan,2017
BLUE STAR CAPITAL PLC,Financial Services,Specialty Finance,3.09,0.15,0.35,nan,nan,2016
BLUEFIELD SOLAR INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,475.3,128.5,113.28,nan,6.14,2018
BLUEJAY MINING PLC,Industrial Metals &amp; Mining,Nonferrous Metals,112.31,13.2,0.4,nan,nan,2017
BLUEROCK DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,1.84,0.3,0.89,49.79,nan,2017
